carYear,price,hasAccidents,fuelType,mileage
2005,3999,FALSE,2,113740
2005,3990,TRUE,2,131705
2005,4995,FALSE,2,141200
2005,3828,FALSE,2,213925
2005,3650,FALSE,5,156
2005,3995,TRUE,2,223636
2005,8500,FALSE,5,65255
2005,5995,FALSE,2,114478
2005,5450,FALSE,2,146787
2005,3450,TRUE,2,123310
2005,4900,FALSE,2,115302
2005,6475,FALSE,2,76000
2005,6900,FALSE,2,97955
2005,5995,FALSE,5,94919
2005,6495,FALSE,2,138526
2005,6995,FALSE,2,128999
2005,8900,FALSE,2,88879
2005,4300,TRUE,5,146649
2005,5995,FALSE,5,73808
2005,8094,FALSE,2,128433
2005,6993,FALSE,2,113554
2005,5495,FALSE,2,94293
2005,3999,FALSE,5,153360
2005,5995,TRUE,2,116704
2005,4995,FALSE,2,128935
2005,5985,TRUE,2,122187
2005,4500,FALSE,2,97211
2005,3999,FALSE,2,158369
2005,3999,TRUE,2,158728
2005,4999,FALSE,2,109000
2005,5295,FALSE,2,123901
2005,5999,TRUE,2,127360
2005,5999,TRUE,2,127360
2005,6998,TRUE,2,99110
2005,6998,TRUE,2,99110
2005,3500,TRUE,5,136740
2005,6995,FALSE,5,92922
2005,3500,FALSE,5,209600
2005,7700,FALSE,2,73694
2005,5988,FALSE,2,115095
2005,6495,FALSE,2,118802
2005,6495,FALSE,2,118802
2005,6228,FALSE,2,118994
2005,4500,FALSE,2,152951
2005,6700,FALSE,2,133530
2005,5888,FALSE,2,138000
2005,4400,FALSE,2,149201
2005,12995,FALSE,5,33856
2005,4599,FALSE,2,122868
2005,5400,TRUE,2,115000
2005,4999,TRUE,2,160457
2005,3995,FALSE,2,138969
2005,7995,FALSE,2,54447
2005,4500,FALSE,2,133376
2005,6900,TRUE,5,71016
2005,4500,FALSE,2,91713
2005,4995,TRUE,2,148302
2005,5500,FALSE,2,126094
2005,6995,TRUE,2,145710
2005,5995,FALSE,2,58072
2005,8995,FALSE,2,46000
2005,4300,FALSE,2,176238
2005,6995,FALSE,2,92705
2005,6995,FALSE,2,92705
2005,4100,TRUE,2,138535
2005,6995,FALSE,5,116740
2005,4595,FALSE,5,166523
2005,7500,FALSE,2,80000
2005,5995,FALSE,5,106579
2005,5999,FALSE,5,86601
2005,5995,TRUE,2,136025
2005,5995,TRUE,2,136025
2005,5998,FALSE,5,105359
2005,4995,FALSE,5,119044
2005,4500,FALSE,2,145390
2005,6995,FALSE,2,84849
2005,5200,TRUE,2,111477
2005,4995,FALSE,2,106194
2005,4995,FALSE,2,100675
2005,5900,FALSE,2,162977
2005,4999,FALSE,2,128859
2005,5497,FALSE,2,137210
2005,7977,FALSE,5,59565
2005,7985,TRUE,2,75427
2005,6577,TRUE,2,79429
2005,5995,FALSE,2,122754
2005,4950,FALSE,2,149000
2005,4900,FALSE,2,124450
2005,4999,FALSE,2,104263
2005,4495,FALSE,2,124432
2005,4999,FALSE,5,152904
2005,4988,TRUE,2,135203
2005,4999,FALSE,2,122804
2005,4999,FALSE,5,63697
2005,4950,FALSE,5,137949
2005,7425,FALSE,2,189256
2005,5950,FALSE,5,109438
2005,6495,FALSE,2,116997
2005,6495,FALSE,2,116997
2005,4995,TRUE,2,229833
2005,4995,FALSE,2,134334
2005,5777,FALSE,2,111755
2005,5600,FALSE,2,98062
2005,8799,FALSE,2,59048
2005,5995,FALSE,5,77221
2005,5995,FALSE,2,101770
2005,6986,TRUE,2,88021
2005,6986,TRUE,2,88021
2005,4890,FALSE,2,144120
2005,6995,FALSE,2,57140
2005,5999,FALSE,2,132000
2005,5999,FALSE,2,132000
2005,6500,FALSE,2,75820
2005,6450,FALSE,2,97634
2005,3995,FALSE,2,155735
2005,3400,FALSE,2,144734
2005,4995,TRUE,2,174249
2005,6295,FALSE,5,92865
2005,4499,FALSE,2,145701
2005,6950,FALSE,5,99000
2005,6950,FALSE,5,99000
2005,3600,FALSE,2,180000
2005,7999,FALSE,2,65107
2005,6995,FALSE,2,82740
2005,3999,FALSE,5,160262
2005,4995,FALSE,2,106958
2005,7995,TRUE,5,156772
2005,4000,TRUE,2,169674
2005,6400,FALSE,2,92375
2005,4995,FALSE,2,150785
2005,3495,FALSE,2,139922
2005,3995,FALSE,2,168213
2005,3995,FALSE,2,188877
2005,8400,FALSE,2,47785
2005,7400,FALSE,2,72570
2005,4500,FALSE,2,135280
2005,6750,FALSE,5,164329
2005,4499,FALSE,2,141417
2005,4995,FALSE,2,120096
2005,4495,FALSE,2,171471
2005,4995,FALSE,2,166525
2005,4995,FALSE,2,166525
2005,4250,TRUE,2,152183
2005,6647,FALSE,2,106876
2005,3985,FALSE,2,130333
2005,5200,TRUE,5,82025
2005,6200,TRUE,2,141321
2005,6200,TRUE,2,141321
2005,5995,FALSE,2,130983
2005,2900,FALSE,2,178719
2005,6888,FALSE,2,76380
2005,6995,TRUE,2,52245
2005,5495,FALSE,2,99665
2005,3900,FALSE,2,128000
2005,4995,TRUE,2,115103
2005,5488,FALSE,2,89015
2005,8850,FALSE,2,60227
2005,7995,FALSE,5,46254
2006,4800,TRUE,2,164450
2006,4800,TRUE,2,164450
2006,4695,FALSE,2,115464
2006,6498,FALSE,2,89456
2006,3795,TRUE,2,183200
2006,3995,FALSE,2,144409
2006,9750,FALSE,2,131178
2006,6490,FALSE,2,88675
2006,5150,TRUE,2,83678
2006,6600,TRUE,2,91638
2006,5995,FALSE,2,126838
2006,5988,FALSE,2,129820
2006,5350,FALSE,2,127090
2006,4600,TRUE,2,158683
2006,4995,TRUE,2,119411
2006,5495,TRUE,2,135000
2006,5995,FALSE,2,81798
2006,3995,TRUE,2,148540
2006,5495,FALSE,2,97200
2006,6995,FALSE,2,83129
2006,8500,FALSE,2,85758
2006,5995,FALSE,2,136435
2006,4977,FALSE,2,164668
2006,4900,FALSE,2,111114
2006,6995,FALSE,2,92020
2006,8285,FALSE,2,64156
2006,5499,TRUE,2,74892
2006,4400,FALSE,2,110609
2006,6990,FALSE,2,91427
2006,4595,FALSE,2,130065
2006,5444,FALSE,2,116146
2006,5100,TRUE,2,158337
2006,5888,TRUE,2,129273
2006,5888,TRUE,2,129273
2006,4995,FALSE,2,116951
2006,8995,FALSE,2,79500
2006,7680,FALSE,2,110643
2006,1950,FALSE,2,154541
2006,5990,FALSE,2,90000
2006,5995,FALSE,2,131895
2006,5900,FALSE,2,85938
2006,5995,FALSE,2,117900
2006,4400,FALSE,2,143280
2006,6999,FALSE,2,88273
2006,4499,FALSE,2,148581
2006,4900,FALSE,2,102091
2006,7888,FALSE,2,79000
2006,6888,FALSE,2,117950
2006,7950,FALSE,2,89224
2006,7495,FALSE,2,133959
2006,5850,FALSE,2,115246
2006,4499,FALSE,2,142401
2006,8995,TRUE,2,54835
2006,11900,TRUE,2,57537
2006,7995,FALSE,2,139657
2006,5995,FALSE,2,107381
2006,5500,FALSE,2,102535
2006,4999,FALSE,2,140839
2006,4495,TRUE,2,166135
2006,4999,TRUE,2,123539
2006,6199,FALSE,2,175679
2006,4995,FALSE,2,164047
2006,6499,TRUE,2,93694
2006,7988,FALSE,2,90525
2006,3495,FALSE,2,179860
2006,3900,TRUE,2,133284
2006,5995,FALSE,2,102355
2006,3995,FALSE,2,203424
2006,3995,TRUE,2,163944
2006,6855,TRUE,2,81393
2006,6995,FALSE,2,139934
2006,5995,FALSE,2,118030
2006,5999,FALSE,2,109074
2006,8499,FALSE,2,48126
2006,7999,FALSE,2,100009
2006,7999,FALSE,2,105722
2006,4999,FALSE,2,145012
2006,6495,FALSE,2,93476
2006,3700,FALSE,2,191038
2006,4999,FALSE,2,112976
2006,8899,FALSE,2,87888
2006,5350,TRUE,2,111276
2006,5900,FALSE,2,118483
2006,6995,FALSE,2,88841
2006,6990,FALSE,2,91133
2006,6988,FALSE,2,106668
2006,9921,FALSE,2,70846
2006,10995,TRUE,2,21000
2006,6995,FALSE,2,68239
2006,5995,FALSE,2,126000
2006,4995,FALSE,2,173155
2006,4995,FALSE,2,173155
2006,5950,FALSE,2,112103
2006,3995,TRUE,2,12327
2006,11995,FALSE,2,21247
2006,8995,FALSE,2,21487
2006,4995,TRUE,2,102204
2006,6295,TRUE,2,101052
2006,6295,TRUE,2,101052
2006,5776,FALSE,2,64949
2006,3990,FALSE,2,156984
2006,3295,FALSE,2,157740
2006,6999,TRUE,2,127837
2006,4400,TRUE,2,179500
2006,5995,FALSE,2,97123
2006,7250,FALSE,2,110429
2006,6990,FALSE,2,126499
2006,5400,FALSE,2,96945
2006,5499,FALSE,2,161875
2006,7995,FALSE,2,79127
2006,7995,FALSE,2,79127
2006,7900,FALSE,2,118976
2006,5490,TRUE,2,90478
2006,6997,FALSE,2,86001
2006,5000,FALSE,2,163525
2006,3795,TRUE,2,160312
2006,5999,FALSE,2,110490
2006,5997,FALSE,2,142834
2006,4700,FALSE,2,152329
2006,4900,TRUE,2,169028
2006,4900,TRUE,2,169028
2006,4900,FALSE,2,153424
2006,4900,FALSE,2,153424
2006,6495,FALSE,2,95057
2006,7492,FALSE,2,68795
2006,5995,FALSE,2,109794
2006,7995,FALSE,2,65941
2006,7995,FALSE,2,65941
2006,6490,FALSE,2,117675
2006,6490,FALSE,2,117675
2006,4995,FALSE,2,114816
2006,6517,FALSE,2,100991
2006,7995,FALSE,2,77794
2006,7995,FALSE,2,77794
2006,4900,FALSE,2,156557
2006,5999,FALSE,2,158365
2006,5999,FALSE,2,158365
2006,7900,FALSE,2,45700
2006,8999,TRUE,2,90125
2006,6490,FALSE,2,124381
2006,6490,FALSE,2,124381
2006,6000,FALSE,2,120200
2006,5499,FALSE,2,112288
2006,5995,FALSE,2,194419
2006,5750,FALSE,2,149117
2006,5499,TRUE,2,106300
2006,6495,FALSE,2,117291
2006,5995,FALSE,2,113657
2006,6495,TRUE,2,89917
2006,6995,FALSE,2,64620
2006,5999,TRUE,2,76863
2006,5599,TRUE,2,80548
2006,4995,FALSE,2,130090
2006,9900,TRUE,2,74104
2006,5995,FALSE,2,92836
2006,6995,FALSE,2,92945
2006,5995,FALSE,2,126753
2006,5995,FALSE,2,95434
2006,5750,FALSE,2,144738
2006,5900,TRUE,2,128572
2006,5900,TRUE,2,128572
2006,6995,FALSE,2,69000
2006,3999,TRUE,2,151019
2006,4995,TRUE,2,92054
2006,7850,FALSE,2,95500
2006,4995,FALSE,2,114109
2006,3999,TRUE,2,167695
2006,6500,TRUE,2,98000
2006,6980,FALSE,2,84309
2006,4950,FALSE,2,164000
2006,4750,TRUE,2,128000
2006,6411,FALSE,2,105724
2006,8495,FALSE,2,113666
2006,7495,FALSE,2,93513
2006,7495,FALSE,2,93513
2007,3990,TRUE,5,15000
2007,4995,FALSE,2,117601
2007,7000,FALSE,2,129799
2007,6999,FALSE,5,101225
2007,5990,FALSE,5,127709
2007,6900,FALSE,2,115982
2007,6495,FALSE,2,96005
2007,6995,TRUE,5,109000
2007,6595,FALSE,2,124160
2007,5995,FALSE,5,125249
2007,5999,FALSE,5,109534
2007,5973,TRUE,2,115776
2007,5995,FALSE,2,117981
2007,6895,TRUE,5,96250
2007,6999,FALSE,5,111120
2007,6895,FALSE,5,74112
2007,7900,FALSE,2,84480
2007,5995,FALSE,5,142693
2007,7495,FALSE,2,99847
2007,6999,FALSE,5,87790
2007,4950,FALSE,5,129904
2007,4300,TRUE,2,172759
2007,7500,FALSE,5,95200
2007,6450,FALSE,5,125104
2007,6577,FALSE,5,130190
2007,6577,FALSE,5,130190
2007,3995,FALSE,2,180585
2007,4650,TRUE,2,166872
2007,6900,FALSE,5,125785
2007,6995,FALSE,2,89361
2007,6677,FALSE,2,113057
2007,6995,FALSE,5,78600
2007,6990,FALSE,2,95832
2007,6990,TRUE,5,131273
2007,6990,TRUE,5,131273
2007,6888,FALSE,5,112489
2007,4999,TRUE,5,123012
2007,10000,FALSE,2,52389
2007,10000,FALSE,2,52389
2007,6495,FALSE,5,107576
2007,4499,TRUE,2,158612
2007,4499,FALSE,2,175825
2007,5995,TRUE,2,121371
2007,4250,FALSE,5,137915
2007,5795,TRUE,5,115199
2007,6990,FALSE,5,104337
2007,6600,TRUE,5,105300
2007,3999,TRUE,5,172964
2007,7495,FALSE,2,161351
2007,5900,FALSE,5,120694
2007,5500,TRUE,5,155889
2007,6999,FALSE,5,90276
2007,8000,TRUE,5,79983
2007,8988,FALSE,2,86732
2007,4450,FALSE,2,193082
2007,6450,FALSE,5,118458
2007,7995,TRUE,5,104850
2007,8999,FALSE,5,104000
2007,5900,FALSE,2,138351
2007,6495,FALSE,5,115017
2007,11995,TRUE,2,89017
2007,11995,TRUE,2,89017
2007,6500,FALSE,2,111007
2007,6195,FALSE,2,140689
2007,9000,FALSE,5,70194
