carYear,price,hasAccidents,fuelType,mileage
2013,17990,TRUE,2,32361
2013,13995,FALSE,2,82052
2014,15657,TRUE,2,47281
2013,21975,TRUE,2,37230
2013,20877,FALSE,2,50874
2013,12885,FALSE,2,83437
2013,14999,FALSE,2,66000
2014,19357,TRUE,2,29970
2014,16030,FALSE,2,55121
2013,12999,FALSE,2,112173
2014,24495,FALSE,2,13355
2014,19995,FALSE,2,81334
2014,21800,FALSE,2,18875
2014,14900,FALSE,2,75509
2013,15950,TRUE,2,42192
2013,12990,TRUE,2,71697
2014,13888,FALSE,2,73841
2013,21436,FALSE,2,66805
2014,13900,TRUE,2,45261
2014,13500,FALSE,2,50281
2014,13900,TRUE,2,53413
2014,13900,TRUE,2,56752
2014,13900,TRUE,2,59690
2014,13900,TRUE,2,60035
2014,13900,TRUE,2,60585
2014,13900,TRUE,2,60903
2014,13500,FALSE,2,64374
2014,13500,TRUE,2,67287
2014,14900,FALSE,2,68989
2014,13500,TRUE,2,69677
2014,12900,TRUE,2,75684
2014,13900,TRUE,2,28943
2014,13900,TRUE,2,48018
2014,13800,FALSE,2,52423
2014,13700,TRUE,2,54955
2013,13999,FALSE,2,77409
2013,19833,FALSE,2,59792
2014,20500,TRUE,2,34088
2014,15250,FALSE,2,61933
2013,17975,TRUE,2,57791
2013,23887,FALSE,2,50874
2013,13400,FALSE,2,43545
2013,14398,FALSE,2,67914
2014,17994,FALSE,2,60862
2013,14998,FALSE,2,42735
2013,13791,TRUE,2,47454
2013,12991,FALSE,2,63750
2013,12491,FALSE,2,63884
2013,18995,TRUE,2,50505
2013,22995,FALSE,2,44678
2013,13995,TRUE,2,43654
2014,17299,FALSE,2,29494
2014,20999,FALSE,0,36234
2013,16899,FALSE,2,36887
2013,12493,TRUE,2,72489
2013,20997,FALSE,2,65373
2014,15995,FALSE,2,95380
2013,22918,FALSE,2,81880
2013,16850,FALSE,2,24796
2013,14750,FALSE,2,79229
2014,19999,FALSE,2,45092
2013,15350,FALSE,2,65365
2013,15980,FALSE,2,64784
2013,15995,FALSE,2,68958
2013,17998,FALSE,2,29713
2014,13790,FALSE,2,70051
2013,15555,TRUE,2,66028
2013,14888,FALSE,2,71847
2013,12054,FALSE,2,102746
